用户标识,业务类型,主叫时长（分）,被叫时长（分）,免费流量,计费流量,月均上网时长（分）,入网时长（天）,最近一次缴费金额（元）,总缴费金额(元),缴费次数,余额,是否潜在合约用户
66069,3G,70.0,97.0,395.0,13.0,64.0,168.0,59.0,465.0,7.0,36.0,0
64410,3G,94.0,79.0,366.0,35.0,59.0,182.0,70.0,542.0,13.0,66.0,0
60110,3G,92.0,99.0,390.0,44.0,134.0,219.0,8.0,548.0,8.0,110.0,1
69600,4G,131.0,87.0,391.0,0.0,128.0,180.0,63.0,498.0,4.0,30.0,1
64683,4G,74.0,104.0,397.0,35.0,112.0,258.0,68.0,614.0,15.0,18.0,1
60982,4G,111.0,99.0,426.0,47.0,97.0,205.0,49.0,612.0,8.0,35.0,1
68750,4G,82.0,50.0,376.0,11.0,83.0,201.0,67.0,472.0,5.0,81.0,0
67730,4G,103.0,116.0,386.0,8.0,77.0,172.0,65.0,562.0,10.0,45.0,0
65452,4G,85.0,103.0,386.0,24.0,106.0,163.0,65.0,583.0,8.0,39.0,0
66525,4G,87.0,143.0,379.0,73.0,113.0,263.0,24.0,487.0,4.0,35.0,1
69031,4G,92.0,89.0,387.0,0.0,53.0,201.0,27.0,439.0,8.0,41.0,0
68592,4G,106.0,113.0,382.0,10.0,89.0,175.0,52.0,621.0,8.0,70.0,0
69924,3G,49.0,113.0,390.0,50.0,149.0,187.0,54.0,444.0,9.0,60.0,1
67903,3G,70.0,101.0,388.0,46.0,77.0,124.0,73.0,460.0,7.0,41.0,0
61339,4G,70.0,100.0,418.0,64.0,143.0,202.0,18.0,308.0,9.0,82.0,1
64916,3G,72.0,85.0,378.0,14.0,83.0,188.0,45.0,277.0,10.0,65.0,0
69658,3G,108.0,149.0,413.0,70.0,110.0,168.0,0.0,572.0,9.0,71.0,1
66611,3G,106.0,77.0,393.0,11.0,64.0,180.0,59.0,479.0,10.0,102.0,0
63064,3G,95.0,154.0,408.0,84.0,110.0,197.0,59.0,517.0,12.0,92.0,1
67117,3G,78.0,86.0,377.0,21.0,122.0,215.0,41.0,551.0,5.0,67.0,0
64473,4G,53.0,78.0,381.0,112.0,131.0,147.0,69.0,378.0,7.0,64.0,1
63618,3G,69.0,90.0,393.0,119.0,137.0,182.0,63.0,344.0,13.0,36.0,1
67413,4G,72.0,91.0,373.0,32.0,82.0,195.0,38.0,414.0,12.0,42.0,0
60501,3G,123.0,94.0,399.0,32.0,83.0,178.0,13.0,347.0,11.0,95.0,1
62964,3G,89.0,88.0,378.0,19.0,67.0,145.0,68.0,536.0,4.0,64.0,0
67098,3G,55.0,83.0,419.0,1.0,163.0,198.0,53.0,454.0,9.0,90.0,1
65643,2G,83.0,77.0,379.0,9.0,43.0,141.0,47.0,501.0,8.0,65.0,0
69823,3G,89.0,96.0,382.0,29.0,104.0,194.0,46.0,521.0,7.0,84.0,0
62936,3G,97.0,115.0,386.0,31.0,83.0,183.0,43.0,484.0,5.0,82.0,0
65098,4G,117.0,89.0,385.0,17.0,68.0,171.0,49.0,534.0,15.0,46.0,0
65936,3G,69.0,93.0,394.0,13.0,82.0,133.0,69.0,510.0,10.0,79.0,0
61389,2G,55.0,84.0,381.0,0.0,101.0,159.0,67.0,481.0,9.0,65.0,0
69771,4G,124.0,80.0,396.0,51.0,95.0,143.0,23.0,413.0,11.0,0.0,1
62424,3G,75.0,89.0,396.0,23.0,103.0,185.0,74.0,361.0,4.0,111.0,1
61766,4G,133.0,104.0,416.0,-0.0,127.0,222.0,0.0,417.0,9.0,20.0,1
60341,4G,58.0,121.0,412.0,85.0,107.0,131.0,63.0,397.0,8.0,39.0,1
66688,3G,98.0,96.0,400.0,0.0,133.0,99.0,45.0,446.0,13.0,89.0,1
63626,3G,87.0,77.0,399.0,0.0,77.0,68.0,70.0,455.0,6.0,76.0,1
64992,4G,90.0,114.0,429.0,3.0,144.0,119.0,0.0,600.0,12.0,60.0,1
68732,4G,81.0,139.0,397.0,61.0,128.0,118.0,30.0,491.0,14.0,57.0,1
69535,4G,117.0,119.0,388.0,21.0,170.0,147.0,20.0,703.0,11.0,64.0,1
68450,2G,66.0,99.0,384.0,0.0,105.0,171.0,71.0,396.0,14.0,57.0,0
67844,3G,54.0,123.0,395.0,0.0,70.0,131.0,63.0,391.0,13.0,28.0,1
67369,4G,121.0,108.0,387.0,0.0,138.0,172.0,93.0,399.0,5.0,64.0,1
63749,4G,101.0,101.0,387.0,0.0,64.0,134.0,63.0,526.0,9.0,62.0,0
67828,3G,84.0,86.0,400.0,0.0,161.0,230.0,45.0,602.0,4.0,103.0,1
63847,3G,86.0,123.0,370.0,27.0,87.0,191.0,40.0,445.0,8.0,94.0,0
61887,3G,81.0,151.0,405.0,18.0,139.0,173.0,36.0,471.0,12.0,33.0,1
61978,4G,115.0,98.0,384.0,38.0,77.0,173.0,49.0,397.0,9.0,62.0,0
60000,3G,103.0,93.0,391.0,37.0,120.0,216.0,132.0,502.0,7.0,45.0,1
63328,4G,110.0,113.0,420.0,140.0,128.0,217.0,52.0,530.0,8.0,66.0,1
64827,2G,67.0,86.0,376.0,12.0,74.0,205.0,77.0,605.0,7.0,64.0,0
66893,3G,76.0,83.0,385.0,33.0,84.0,213.0,35.0,567.0,4.0,77.0,0
63192,3G,101.0,86.0,377.0,16.0,95.0,160.0,29.0,597.0,8.0,79.0,0
66881,3G,90.0,95.0,397.0,34.0,72.0,197.0,70.0,402.0,13.0,7.0,1
60102,4G,99.0,92.0,382.0,49.0,115.0,202.0,0.0,398.0,11.0,45.0,1
69406,4G,75.0,94.0,376.0,12.0,80.0,193.0,91.0,531.0,7.0,50.0,0
63155,3G,83.0,126.0,401.0,15.0,119.0,202.0,74.0,422.0,6.0,102.0,1
66193,3G,85.0,89.0,405.0,0.0,58.0,129.0,64.0,757.0,7.0,84.0,1
64089,3G,102.0,99.0,381.0,58.0,89.0,256.0,60.0,409.0,8.0,65.0,0
65902,3G,102.0,111.0,381.0,22.0,162.0,168.0,74.0,415.0,6.0,106.0,1
67473,4G,89.0,83.0,359.0,21.0,85.0,130.0,56.0,463.0,9.0,63.0,0
60313,3G,106.0,111.0,402.0,0.0,109.0,240.0,41.0,477.0,1.0,73.0,1
60371,4G,113.0,88.0,386.0,38.0,73.0,181.0,74.0,576.0,12.0,98.0,0
60064,3G,88.0,100.0,387.0,38.0,111.0,230.0,42.0,498.0,10.0,54.0,0
